tag,n,acquisition_mean,acquisition_sd,average_accuracy_mean,average_accuracy_sd,backward_transfer_mean,backward_transfer_sd,forgetting_mean,forgetting_sd
ewc_k128_gamma0.8_lam0.001,3,0.9780600448449452,0.0001252997402266906,0.862170038620631,0.010168026370791462,-0.12876667358257152,0.011430184389673451,0.12876667358257152,0.011430184389673451
ewc_k128_gamma0.8_lam0.01,3,0.9671733836332956,0.0004936853388012617,0.9464300493399301,0.0031712260860608118,-0.023048149214850534,0.0029809398733851196,0.02307407282016895,0.003018103068520872
ewc_k128_gamma0.8_lam0.1,3,0.9265967110792795,0.0016871683021303409,0.914320041735967,0.002459835925257909,-0.013640743714791757,0.0010889597052414907,0.013640743714791757,0.0010889597052414907
ewc_k128_gamma0.8_lam1,3,0.7771900375684103,0.0019504069468338186,0.7661067068576811,0.0015387105812146753,-0.012314811900809958,0.000630233717395063,0.012611108797567862,0.000779594625062852
ewc_k128_gamma0.8_lam10,3,0.4032600179314613,0.005312694536545786,0.40741335302591325,0.006282885674384895,0.004614816771613226,0.0011336228982563128,0.001144445604748196,0.0010786361425111784
ewc_k128_gamma0.8_lam100,3,0.22659334416190782,0.009529602257991553,0.22940334156155587,0.010142653986520464,0.003122219332942256,0.0006832213492141056,-0.0006925894154442683,0.0003590658309079559
ewc_k128_gamma1_lam0.001,3,0.9770967145760854,0.00021548038430420848,0.9083700398604075,0.005739507427308164,-0.07636297190630877,0.0062639226454536245,0.07636297190630877,0.0062639226454536245
ewc_k128_gamma1_lam0.01,3,0.9621167143185932,0.0005758761027476523,0.9475000460942585,0.001691945151056926,-0.01624074247148302,0.0012975375276309184,0.01625185321878504,0.0013064031653128787
ewc_k128_gamma1_lam0.1,3,0.9102400461832683,0.0018754980335088276,0.8991300463676453,0.0025078244209974154,-0.012344444239581073,0.0009582049634619911,0.012344444239581073,0.0009582049634619911
ewc_k128_gamma1_lam1,3,0.709050037463506,0.0019833510065343876,0.7003333667914072,0.00136442205113918,-0.009685189635665328,0.0010404906068583412,0.010344447912993255,0.0009512177285987485
ewc_k128_gamma1_lam10,3,0.3708933527270952,0.005112900267823522,0.37487001766761147,0.005916068252081623,0.004418516600573504,0.0008940309373669861,0.00042592540935233785,0.0007653206309332811
ewc_k128_gamma1_lam100,3,0.22342001274228096,0.010073710085828603,0.22531667600075403,0.010773923061174986,0.0021074036205256425,0.0007941371626185284,-0.00019629465209113225,0.00022833908884048332
ewc_k1_gamma0.8_lam0.001,3,0.9619900425275166,0.00028213379139850836,0.7479900389909745,0.018233890856913272,-0.23777778170726918,0.019952277189152164,0.23777778170726918,0.019952277189152164
ewc_k1_gamma0.8_lam0.01,3,0.9455400506655375,0.001394596570653966,0.8895267128944396,0.004367179957705476,-0.062237041967886465,0.00613608675032366,0.06227778284638017,0.00608946966891161
ewc_k1_gamma0.8_lam0.1,3,0.8958733777205149,0.0029835793240933035,0.8704100449879965,0.004854453743603159,-0.02829259192502057,0.008363818220922564,0.02874814801745944,0.007785209553459346
ewc_k1_gamma0.8_lam1,3,0.7407166997591655,0.012132689722504532,0.7143800258636475,0.00998662227489801,-0.029262970995019982,0.023204124649741194,0.030585189660390224,0.022252172193370078
ewc_k1_gamma0.8_lam10,3,0.427433355152607,0.011092018899990824,0.4251266896724701,0.005046992026503841,-0.002562961644596524,0.006755857702315355,0.010007407930162217,0.007068073574517188
ewc_k1_gamma0.8_lam100,3,0.2905266791582108,0.004530059568219425,0.2711400096615156,0.008962962837717484,-0.02154074388521689,0.00734586348059228,0.0235518553742656,0.008245866166758563
ewc_k1_gamma1_lam0.001,3,0.9597500463326772,0.0010194589409910251,0.8032067070404688,0.00825887111270889,-0.1739370436580093,0.009263680884036944,0.1739370436580093,0.009263680884036944
ewc_k1_gamma1_lam0.01,3,0.9389600435892742,0.0008853801547772206,0.9032867074012757,0.004753660907949644,-0.03963704020888718,0.006183138632475755,0.03963704020888718,0.006183138632475755
ewc_k1_gamma1_lam0.1,3,0.8750667115052542,0.0026177069894377054,0.8537067095438639,0.0015196112141366257,-0.023733335512655756,0.004393472178325899,0.024351855119069416,0.003575392494450283
ewc_k1_gamma1_lam1,3,0.6763800342877705,0.013120049629587018,0.655233363310496,0.007089125086334616,-0.02349630108586064,0.019243897643956093,0.02516296837064955,0.017942938431383684
ewc_k1_gamma1_lam10,3,0.3940466888248921,0.012745310520121669,0.3903700190285842,0.006648152742344695,-0.0040851886625643125,0.007046016746559519,0.010570372972223492,0.008201428471954056
ewc_k1_gamma1_lam100,3,0.28835001364350316,0.005216931317182989,0.2709400122364362,0.0071101540732676355,-0.0193444460078522,0.004355455292913729,0.02042222298957683,0.0048631749459766
finetune_k1,3,0.9672167181968688,0.0007574559558918174,0.4385733519991239,0.006162417179841371,-0.5873815179974944,0.006989941703274409,0.5873815179974944,0.006989941703274409
finetune_k128,3,0.9801467180252076,8.326804949293684e-05,0.5536666974425316,0.00971553803989405,-0.4738666895363066,0.010702550667883873,0.4738666895363066,0.010702550667883873
si_k128_lam0.01,3,0.9796633839607239,6.351218590191227e-05,0.7138500362634659,0.005476935506419871,-0.29534816410806447,0.006014962660959519,0.29534816410806447,0.006014962660959519
si_k128_lam0.1,3,0.9750333805878957,0.00022188963497063268,0.9268900414307911,0.004943494728859583,-0.053492599063449435,0.00530550190540435,0.053492599063449435,0.00530550190540435
si_k128_lam1,3,0.9455200453599294,0.0013255546328197474,0.9329200446605682,0.002913213910572852,-0.014000000777067962,0.001950918100772534,0.014000000777067962,0.001950918100772534
si_k128_lam10,3,0.8167367041110992,0.00031564796347050846,0.8040733734766642,0.0018567264936625843,-0.014070367371594464,0.0017235578918874965,0.01426666533505475,0.001771097799005951
si_k128_lam100,3,0.446256689230601,0.00558454033262994,0.44844002028306323,0.005529674130183157,0.002425923391624733,0.0004002118241576858,0.0012370403166170473,0.0011115686449476494
si_k128_lam1000,3,0.2856900150577227,0.010126443926265046,0.2873800123731295,0.01089154295650845,0.0018777747948964436,0.0009100959843857544,-0.0001925919894818907,0.0007245568340890562
si_k1_lam0.01,3,0.9661200483640036,0.0006555135902532574,0.572923360268275,0.01687675767573777,-0.43688520899525396,0.01850533958234892,0.43688520899525396,0.01850533958234892
si_k1_lam0.1,3,0.9551000495751699,0.0003204665317831525,0.8078200380007425,0.01917309572687624,-0.1636444573049192,0.02125475516698763,0.1636444573049192,0.02125475516698763
si_k1_lam1,3,0.9129667103290556,0.0013250454964263798,0.8793300429979961,0.007691615119549884,-0.03737407481228863,0.007558484059994725,0.03768148024876912,0.007087866359891492
si_k1_lam10,3,0.7500900387763977,0.006792289992499618,0.7370133678118388,0.0034589282862047075,-0.014529634405065465,0.0037057075066485477,0.015892593948929397,0.0026935147526038644
si_k1_lam100,3,0.4105200221141179,0.003722111773743294,0.4144733558098475,0.002546849759456373,0.004392592995255081,0.0016015963791890574,0.0007888823747634888,0.00057100168677099
si_k1_lam1000,3,0.27099668110410374,0.01170793258778149,0.2725566796958447,0.011335921699917205,0.0017333317686010288,0.0021792823856912977,0.0006629642513063218,0.0011102996563107789
