tag,n,acquisition_mean,acquisition_sd,average_accuracy_mean,average_accuracy_sd,backward_transfer_mean,backward_transfer_sd,forgetting_mean,forgetting_sd,paired_ci95,paired_diff,paired_n
constant,10,0.9484440469741822,0.0006720475959187199,0.9210810452699661,0.0026569804474043304,-0.03040333522690667,0.0026143017546485744,0.03040333522690667,0.0026143017546485744,,,
cosine,10,0.9397770458459853,0.0006989826935259874,0.9088400435447692,0.003076825040945945,-0.034374447001351255,0.003150369055053931,0.034374447001351255,0.003150369055053931,0.000899583676195416,-0.012241001725196843,10
hold_schedule_param0.2,10,0.9436730462312697,0.0007097129516343983,0.913266043663025,0.0034274572265527393,-0.03378555840916104,0.0035546418867784405,0.03378555840916104,0.0035546418867784405,0.0008468898584856479,-0.007815001606941218,10
hold_schedule_param0.5,10,0.9455020463466643,0.0006937804039736337,0.9158230429887771,0.003068781462159165,-0.03297667039765252,0.0032652334771293453,0.03297667039765252,0.0032652334771293453,0.0005678847670699923,-0.005258002281188967,10
hold_schedule_param0.8,10,0.9472350466251372,0.0006409234155156395,0.9183500421047212,0.002970204797542503,-0.03209444946712918,0.003103086337562274,0.03209444946712918,0.003103086337562274,0.0007101764514638027,-0.0027310031652450608,10
linear,10,0.9419180423021316,0.0006356053500579865,0.9108870422840118,0.003475211184355567,-0.03447888890902201,0.003571288863296245,0.03447888890902201,0.003571288863296245,0.0010477146110856941,-0.010194002985954275,10
power_schedule_param0.25,10,0.9468910437822341,0.0007034427862845712,0.9175480407476424,0.0030765695812487825,-0.03260333670510186,0.003139182907836101,0.03260333670510186,0.003139182907836101,0.0005824018046041683,-0.003533004522323613,10
power_schedule_param0.5,10,0.9454110455513,0.0007717465174749901,0.9150900453329086,0.0035754115314367107,-0.03369000024265713,0.003786888473358888,0.03369000024265713,0.003786888473358888,0.0008595830996481801,-0.005990999937057507,10
power_schedule_param2,10,0.9354240447282791,0.0007254944051145053,0.9038170433044433,0.0032148690283764934,-0.03511889047092862,0.003382898170257833,0.03511889047092862,0.003382898170257833,0.0011469431091052854,-0.017264001965522746,10
power_schedule_param3,10,0.9308780437707902,0.0008767347668679664,0.8988930433988571,0.002932657977906041,-0.035538889302147755,0.0029632622450327995,0.035538889302147755,0.0029632622450327995,0.0010858643281814319,-0.02218800187110901,10
thermo,10,0.9361710435152055,0.0007299396309358699,0.9056070429086684,0.0031616623124935566,-0.03396000067392985,0.003495032945525558,0.03396000067392985,0.003495032945525558,0.0011015993853713544,-0.015474002361297612,10
