tag,n,acquisition_mean,acquisition_sd,average_accuracy_mean,average_accuracy_sd,backward_transfer_mean,backward_transfer_sd,forgetting_mean,forgetting_sd,paired_ci95,paired_diff,paired_n
constant_moves_per_stage100,3,0.9486900448799135,0.0009689196659324377,0.9226367076237997,0.0024976486860030216,-0.028948152506792984,0.0020708557737474545,0.028948152506792984,0.0020708557737474545,,,
constant_moves_per_stage1600,3,0.9504667123158773,0.0008139573925618724,0.9249467134475707,0.003523161489825918,-0.02835555429811831,0.003653030804712235,0.02835555429811831,0.003653030804712235,0.004317486410947726,0.0023100058237711294,3
constant_moves_per_stage200,3,0.9494933803876241,0.0009279151001750559,0.9245633761088053,0.0023517301035017517,-0.027700004754243075,0.002506017564813527,0.027711115501545095,0.0025006915948373467,0.0025726508909014803,0.001926668485005704,3
constant_moves_per_stage400,3,0.9500700473785401,0.0010320421771368748,0.9248600482940673,0.0022600659063757465,-0.028011110093858507,0.0024110774307292515,0.028011110093858507,0.0024110774307292515,0.0011784289095956876,0.0022233406702677483,3
constant_moves_per_stage800,3,0.9501467168331147,0.0007612085760317923,0.9252433776855469,0.0029644963872277885,-0.027670376830630835,0.003301439896951399,0.027670376830630835,0.003301439896951399,0.0026453739640350613,0.0026066700617472702,3
linear_cos_moves_per_stage100,3,0.9288333793481192,0.0011850867917031875,0.8897133767604828,0.001289394940608857,-0.043466669541818125,0.00031288850111063193,0.043466669541818125,0.00031288850111063193,0.004609005718932977,-0.03292333086331689,3
linear_cos_moves_per_stage1600,3,0.9472000499566396,0.0012590466053847666,0.8871133784453074,0.00687794246247393,-0.06676296834592466,0.0067562963623945,0.06676296834592466,0.0067562963623945,0.018467925258296155,-0.03552332917849221,3
linear_cos_moves_per_stage200,3,0.9372067073980966,0.0008808192564563887,0.8929633776346844,0.002953205112305576,-0.04915925529268053,0.0029078256755421875,0.04915925529268053,0.0029078256755421875,0.008884750038451999,-0.02967332998911539,3
linear_cos_moves_per_stage400,3,0.9424133857091267,0.0010376138176923632,0.8911300400892893,0.0049749767053389495,-0.05698149513315271,0.004841006436310304,0.05698149513315271,0.004841006436310304,0.014353546293821422,-0.03150666753451026,3
linear_cos_moves_per_stage800,3,0.9453200439612072,0.001190003326967492,0.8886267125606536,0.006241810323797122,-0.06299259044505932,0.006054290904662472,0.06299259044505932,0.006054290904662472,0.017149218776777716,-0.03400999506314595,3
linear_moves_per_stage100,3,0.9425033787886301,0.000866391538807443,0.9127167105674743,0.0018400028309105592,-0.03309629802350644,0.0013192400308720967,0.03309629802350644,0.0013192400308720967,0.001635220201835824,-0.009919997056325291,3
linear_moves_per_stage1600,3,0.9503733813762665,0.0007613389214152995,0.9238633791605632,0.002659745392358613,-0.029455558017448143,0.0027845002178056313,0.029455558017448143,0.0027845002178056313,0.0031067056829905174,0.0012266715367635166,3
linear_moves_per_stage200,3,0.9464667081832886,0.0010217800042410562,0.9188100477059682,0.0015400039298226996,-0.030729622752578168,0.0015855235490569704,0.030729622752578168,0.0015855235490569704,0.002511357426080117,-0.0038266599178314506,3
linear_moves_per_stage400,3,0.9486500461896261,0.0009526852941035184,0.9209933777650198,0.0021638494678822874,-0.030729631582895916,0.0020567307753006927,0.030729631582895916,0.0020567307753006927,0.000835178823454436,-0.0016433298587799072,3
linear_moves_per_stage800,3,0.9498000423113506,0.0008107476383064835,0.9231867055098215,0.0028359203439821947,-0.02957037422392103,0.0028977256660334435,0.02957037422392103,0.0028977256660334435,0.0021843416785620588,0.0005499978860219098,3
prox_cos_moves_per_stage100,3,0.9477200527985891,0.0006255399459839255,0.9082633773485819,0.002217440272611795,-0.04384075050000791,0.0019189246046656125,0.04384075050000791,0.0019189246046656125,0.009136642531412139,-0.0143733302752177,3
prox_cos_moves_per_stage1600,3,0.9512467165788016,0.0008025815968662248,0.8973867118358613,0.005281195737929507,-0.05984444971437808,0.004999490255593334,0.05984444971437808,0.004999490255593334,0.012611716011760874,-0.025249995787938444,3
prox_cos_moves_per_stage200,3,0.9496100505193074,0.0009366449717809396,0.9064267019430797,0.004150094652058036,-0.04798149841803092,0.0037770556932042623,0.04798149841803092,0.0037770556932042623,0.011877417769162941,-0.01621000568071999,3
prox_cos_moves_per_stage400,3,0.9504633804162342,0.0008793372225993268,0.903490040699641,0.004690706710796273,-0.052192599685103806,0.004369037576647855,0.052192599685103806,0.004369037576647855,0.011952413722175452,-0.01914666692415871,3
prox_cos_moves_per_stage800,3,0.9509267151355744,0.0007429943929834574,0.9007667104403178,0.005144488937305083,-0.05573333855028506,0.0049454917806448,0.05573333855028506,0.0049454917806448,0.012033053525363146,-0.021869997183481815,3
thermo_moves_per_stage100,3,0.9368467132250468,0.0004508144488717047,0.9076500415802001,0.0011440738891044173,-0.032440746272051776,0.001589525421518443,0.032440746272051776,0.001589525421518443,0.0035904498359946324,-0.01498666604359944,3
thermo_moves_per_stage1600,3,0.9502333839734396,0.000938635428792286,0.9236767093340555,0.0022636645671228026,-0.029507416265982172,0.002215615212065203,0.029507416265982172,0.002215615212065203,0.002618740068785198,0.0010400017102559407,3
thermo_moves_per_stage200,3,0.9434867064158121,0.0006236529198116659,0.9156867106755575,0.0010471026463687249,-0.030888884155838573,0.0015428410237613484,0.030888884155838573,0.0015428410237613484,0.004530955032579101,-0.006949996948242203,3
thermo_moves_per_stage400,3,0.947833381096522,0.0008533693586136499,0.9204467078049978,0.00167481470959223,-0.0304296369905825,0.0019667649186311796,0.0304296369905825,0.0019667649186311796,0.003125580098740371,-0.0021899998188018577,3
thermo_moves_per_stage800,3,0.9496200442314148,0.000767400415164064,0.9229867080847421,0.002257460846878393,-0.029592595718525072,0.002244898294638218,0.029592595718525072,0.002244898294638218,0.0012278474385996239,0.00035000046094257886,3
