tag,n,acquisition_mean,acquisition_sd,average_accuracy_mean,average_accuracy_sd,backward_transfer_mean,backward_transfer_sd,forgetting_mean,forgetting_sd,paired_ci95,paired_diff,paired_n
beta1,2,0.9006667137145996,0.0014613436294687776,0.8844667077064514,0.005374004164129114,-0.02430000901222229,0.0058689908019905045,0.02430000901222229,0.0058689908019905045,0.013976872468357809,0.021833340326945005,2
ewc,1,0.8652667204538981,0.0,0.8586333592732748,0.0,-0.009950041770935059,0.0,0.009950041770935059,0.0,nan,0.0008999903996785852,1
finetune,1,0.9034000436464945,0.0,0.85643337170283,0.0,-0.07045000791549683,0.0,0.07045000791549683,0.0,nan,-0.0012999971707662317,1
laplace,1,0.8810000419616699,0.0,0.868933379650116,0.0,-0.018099993467330933,0.0,0.018099993467330933,0.0,nan,0.011200010776519775,1
long,1,0.8553500374158224,0.0,0.8245333731174469,0.0,-0.03697999715805054,0.0,0.03697999715805054,0.0,nan,-0.03319999575614929,1
psb,2,0.8792833685874939,0.0016734827669735585,0.8626333673795064,0.006929644342666134,-0.0249750018119812,0.007884242363538903,0.0249750018119812,0.007884242363538903,,,
rotated,1,0.8565333684285482,0.0,0.5935000280539194,0.0,-0.39455001056194305,0.0,0.39455001056194305,0.0,nan,-0.26423334081967675,1
si,1,0.903266708056132,0.0,0.8587000370025635,0.0,-0.06685000658035278,0.0,0.06685000658035278,0.0,nan,0.0009666681289672852,1
split,1,0.9822856426239014,0.0,0.6749871343374252,0.0,-0.38412313535809517,0.0,0.38412313535809517,0.0,nan,-0.182746234536171,1
thermo,1,0.8762000401814779,0.0,0.8558000326156616,0.0,-0.030600011348724365,0.0,0.030600011348724365,0.0,nan,-0.0019333362579345703,1
